0.18182,146.34,1.958,0.57806
0.36364,146.33,1.958,0.57801
0.54545,146.34,1.9579,0.57807
0.72727,146.43,1.9569,0.57881
0.90909,146.53,1.9522,0.58237
1.0909,146.51,1.9405,0.59119
1.2727,146.51,1.9345,0.59572
1.4545,146.49,1.9256,0.60246
1.6364,146.48,1.9167,0.60913
1.8182,146.5,1.9107,0.61358
2,146.45,1.902,0.62047
2.1818,146.47,1.893,0.62705
2.3636,146.47,1.8843,0.63386
2.5455,146.47,1.8783,0.63822
2.7273,146.41,1.8705,0.64334
2.9091,146.44,1.8614,0.65025
3.0909,146.43,1.8528,0.65693
3.2727,146.45,1.8468,0.6615
3.4545,146.44,1.8381,0.66813
3.6364,146.45,1.8292,0.6748
3.8182,146.47,1.8204,0.68178
4,146.48,1.8147,0.68619
4.1818,146.53,1.8057,0.69316
4.3636,146.49,1.7971,0.69951
4.5455,146.53,1.7912,0.70439
4.7273,146.54,1.7826,0.7111
4.9091,146.55,1.7767,0.71547
5.0909,146.55,1.7682,0.72212
5.2727,146.57,1.7596,0.72891
5.4545,146.61,1.7509,0.73565
5.6364,146.62,1.7454,0.74021
5.8182,146.67,1.7366,0.74698
6,146.73,1.7278,0.75373
6.1818,146.76,1.7193,0.76034
6.3636,146.8,1.7107,0.76718
6.5455,146.81,1.7025,0.77376
6.7273,146.89,1.6966,0.77835
6.9091,146.9,1.6883,0.78525
7.0909,146.97,1.6796,0.79199
7.2727,146.99,1.6738,0.7965
7.4545,147.07,1.6652,0.80336
7.6364,147.09,1.6569,0.81013
7.8182,147.18,1.6483,0.81701
8,147.21,1.6428,0.82141
8.1818,147.26,1.6343,0.82813
8.3636,147.31,1.626,0.83498
8.5455,147.38,1.6175,0.84183
8.7273,147.42,1.6117,0.84644
8.9091,147.47,1.6032,0.85329
9.0909,147.57,1.5948,0.86019
9.2727,25.967,1.1913,0.35077
9.4545,147.66,1.5819,0.87115
9.6364,26.077,1.2084,0.3566
9.8182,26.124,1.2185,0.35989
10,26.162,1.2286,0.36355
