0.2,-115.95,2.68,0.89738
0.4,-115.92,2.6799,0.89726
0.6,-115.92,2.6798,0.89725
0.8,-115.88,2.6791,0.89737
1,-116.01,2.6687,0.89866
1.2,-114.63,2.6243,0.90874
1.4,63.503,3.6081,0.47612
1.6,-111.6,2.5523,0.92785
1.8,-110.09,2.5164,0.93739
2,-108.53,2.479,0.94631
2.2,-107.01,2.4429,0.95592
2.4,-105.52,2.4068,0.96548
2.6,-103.98,2.3711,0.97523
2.8,-102.5,2.3353,0.98471
3,-100.95,2.2997,0.99457
3.2,-99.384,2.2636,1.0046
3.4,-97.823,2.2277,1.0143
3.6,-96.368,2.1928,1.0237
3.8,-94.789,2.1568,1.0335
4,-93.263,2.1212,1.0433
4.2,-91.727,2.0858,1.053
4.4,-90.226,2.0503,1.0628
4.6,-88.662,2.0147,1.0726
4.8,-87.01,1.9795,1.0817
5,-85.986,1.956,1.0882
5.2,-83.923,1.9083,1.1014
5.4,-82.909,1.8847,1.1077
5.6,-80.867,1.8372,1.121
5.8,-79.841,1.8133,1.1276
6,-78.31,1.778,1.1372
6.2,-76.785,1.7423,1.1471
6.4,-74.729,1.695,1.1601
6.6,-73.707,1.6716,1.1666
6.8,-72.225,1.6343,1.1782
7,-70.154,1.5878,1.1898
7.2,-69.115,1.5644,1.1965
7.4,-67.602,1.5287,1.2064
7.6,-66.039,1.4932,1.2163
7.8,-64.515,1.4577,1.2262
8,-62.964,1.4221,1.2363
8.2,-61.441,1.3868,1.2464
8.4,-59.395,1.3393,1.2598
8.6,-58.359,1.316,1.2664
8.8,-56.792,1.2803,1.2765
9,-55.26,1.2452,1.2864
9.2,-53.731,1.2096,1.2967
9.4,-52.191,1.1741,1.3068
9.6,-50.137,1.1271,1.3201
9.8,-49.122,1.1033,1.3271
10,-46.941,1.0584,1.3391
