0.18182,42.047,2.735,0.95351
0.36364,42.036,2.735,0.95349
0.54545,42.044,2.735,0.95362
0.72727,41.967,2.7343,0.9534
0.90909,41.653,2.7314,0.95308
1.0909,41.229,2.7257,0.95227
1.2727,40.782,2.7201,0.95194
1.4545,40.381,2.7146,0.95141
1.6364,39.963,2.709,0.95096
1.8182,39.678,2.7052,0.95063
2,39.274,2.6997,0.95013
2.1818,38.836,2.6942,0.94979
2.3636,38.579,2.6905,0.94951
2.5455,38.168,2.685,0.94906
2.7273,37.741,2.6795,0.94869
2.9091,37.352,2.674,0.94819
3.0909,36.951,2.6687,0.94767
3.2727,36.649,2.665,0.94771
3.4545,36.27,2.6597,0.94711
3.6364,35.973,2.656,0.94729
3.8182,35.583,2.6507,0.94666
4,35.178,2.6454,0.94641
4.1818,34.763,2.64,0.94623
4.3636,34.486,2.6362,0.94593
4.5455,34.088,2.6312,0.94574
4.7273,33.732,2.6257,0.9454
4.9091,33.315,2.6204,0.94525
5.0909,33.071,2.6169,0.9449
5.2727,32.654,2.6115,0.94492
5.4545,32.266,2.6063,0.94469
5.6364,32.028,2.6028,0.94442
5.8182,31.608,2.5977,0.94431
6,31.238,2.5925,0.94401
6.1818,30.993,2.5889,0.94386
6.3636,30.568,2.5838,0.94414
6.5455,30.212,2.5785,0.94386
6.7273,29.86,2.5734,0.94332
6.9091,29.584,2.5701,0.94356
7.0909,29.189,2.5647,0.94372
7.2727,28.835,2.5597,0.94311
7.4545,28.468,2.5545,0.94294
7.6364,28.187,2.5514,0.9431
7.8182,27.799,2.5463,0.94318
8,27.431,2.541,0.94315
8.1818,27.064,2.5361,0.94311
8.3636,26.812,2.5328,0.94306
8.5455,26.437,2.5279,0.94315
8.7273,26.077,2.5229,0.94307
8.9091,25.834,2.5193,0.94296
9.0909,25.475,2.5145,0.94296
9.2727,25.08,2.5098,0.94323
9.4545,24.739,2.5047,0.94314
9.6364,24.349,2.4997,0.94344
9.8182,24.078,2.4964,0.94379
10,23.744,2.4917,0.94349
